parentCompany,businessName,businessType,expires,street,city,state,zip,Latitude,Longitude,Accuracy Score,Street,City,State,County,Zip
ROYAL LIQUOR CORPORATION,ROYAL LIQUOR,Liquor Store (city), 10/01/2015,7735 WADSWORTH BLVD #21,Arvada,CO,800032143,39.837527117647,-105.08171747059,0.9,7735 State Hwy,Arvada,CO,Jefferson County,80003
"RTJ, LLC",WATER TOWER LIQUORS,Liquor Store (city), 06/04/2016,5545 OLDE WADSWORTH BLVD,ARVADA,CO,800022586,39.798422833333,-105.08142975,1,5545 Olde Wadsworth Blvd,Arvada,CO,Jefferson County,80002
SAMS WEST INC,SAMS CLUB #6630,Liquor Store (city), 04/20/2016,7370 W 52ND AVE,Arvada,CO,800023708,39.791176268585,-105.08062530456,0.9,7370 W 52nd Ave,Arvada,CO,Jefferson County,80002
SAWAGED FERAS H,LIONS LIQUOR,Liquor Store (city), 06/27/2015,10378-10380 RALSTON RD,Arvada,CO,80004,39.811670578947,-105.11376640351,0.9,10378-10380 Co Rd,Arvada,CO,Jefferson County,80004
SAWAGED OSAMA W,WADSWORTH LIQUOR,Liquor Store (city), 08/15/2015,6781-6783 WADSWORTH BLVD,Arvada,CO,800033947,39.819702172414,-105.08148213793,0.9,6781-6783 State Hwy,Arvada,CO,Jefferson County,80003
SIX A LLC,VINELANDS LIQUORS,Liquor Store (city), 10/10/2015,8770 WADSWORTH UNIT K,Arvada,CO,800030927,39.855901059701,-105.08168871642,0.9,8770 State Hwy,Arvada,CO,Jefferson County,80003
T & D LIQUORS LLC,SUNRISE LIQUORS,Liquor Store (city), 09/04/2015,6430 WADSWORTH BLVD,Arvada,CO,80003,39.8134045,-105.080807125,0.9,6430 State Hwy,Arvada,CO,Jefferson County,80003
WEST WOODS WINE & SPRITS LLC,WEST WOODS WINE & SPIRITS,Liquor Store (city), 04/22/2016,16255 W 64TH AVE UNIT I,ARVADA,CO,800077400,39.812697892265,-105.18107709392,0.7,16255 Co Rd,Arvada,CO,Jefferson County,80007
BLAIR KENNETH W BLAIR LISA BEHRINGER,BERKELEY VILLAGE DISCOUNT LIQUORS,Liquor Store (county), 02/14/2016,5302 SHERIDAN,Arvada,CO,800027018,39.794822,-105.105292,0.33,0,Arvada,CO,Jefferson County,80002
KS CORP,MARSHALL LIQUOR,Liquor Store (county), 12/07/2015,5216 MARSHALL ST,Arvada,CO,800023931,39.791330043478,-105.06865152174,1,5216 Marshall St,Arvada,CO,Jefferson County,80002
LOCAL SPIRITS INC,LOCAL SPIRITS,Liquor Store (city), 06/06/2016,435 E MAIN ST,ASPEN,CO,816111931,39.190587612245,-106.81881897959,1,435 E Main St,Aspen,CO,Pitkin County,81611
MOUNTAIN LAUREL LLC,ASPEN WINE & SPIRITS,Liquor Store (city), 01/02/2016,300 PUPPY SMITH ST,Aspen,CO,816111455,39.194138,-106.819199,1,300 Puppy Smith St,Aspen,CO,Pitkin County,81611
PAUL ROBINSON INC,GREAT WESTERN GROG SHOP,Liquor Store (city), 12/31/2015,710 E DURANT,Aspen,CO,816112070,39.169324,-106.776744,0.33,0,Aspen,CO,Pitkin County,81611
PLUMLEY CORP,ASPEN WINE GUILD INC THE,Liquor Store (city), 12/14/2015,111 S MONARCH ST,Aspen,CO,81611,39.190607285714,-106.82050385714,1,111 S Monarch St,Aspen,CO,Pitkin County,81611
WC IWM LLC,IWM CELLARS,Liquor Store (city), 06/27/2016,665 E DURANT AVE,Aspen,CO,81611,39.186922675,-106.817402725,0.9,665 E Durant Ave,Aspen,CO,Pitkin County,81611
AIRPORT LIQUOR INC,AIRPORT LIQUOR INC,Liquor Store (county), 12/25/2015,119F AABC,ASPEN,CO,816112561,39.218375272727,-106.86139209091,1,119 F Aabc,Aspen,CO,Pitkin County,81611
AULT LIQUOR INC,AULT DISCOUNT LIQUORS INC,Liquor Store (city), 08/19/2016,103 S HWY 85,Ault,CO,80610,40.575314,-104.729181,0.8, Us Hwy,Ault,CO,Weld County,80610
KYNE KATHY,BOOZE BARN THE,Liquor Store (city), 12/05/2015,213 HWY 85,AULT,CO,80610,40.575314,-104.729181,0.8, Us Hwy,Ault,CO,Weld County,80610
6TH AVENUE LIQUORS LLC,6TH AVENUE LIQUORS,Liquor Store (city), 10/24/2015,10310 E 6TH AVENUE #C,Aurora,CO,80013,39.725571,-104.86814006122,1,10310 E 6th Ave,Aurora,CO,Arapahoe County,80010
A & I LIQUOR LLC,A & I LIQUOR,Liquor Store (city), 03/28/2016,306 S IRONTON UNIT B,Aurora,CO,800122078,39.71095695,-104.8637379,1,306 S Ironton St,Aurora,CO,Arapahoe County,80012
A & T LLC,QUINCY LIQUOR,Liquor Store (city), 02/26/2016,"19330 E QUINCY AVE, UNIT D",Aurora,CO,80015,39.63850553125,-104.7630540625,0.9,19330 Airline Rd,Aurora,CO,Arapahoe County,80015
A N A CORPORATION,SONORA LIQUORS AURORA,Liquor Store (city), 09/21/2015,566 NORTH DAYTON STREET,Aurora,CO,800104203,39.64742,-104.877129,0.8, S Dayton St,Aurora,CO,Arapahoe County,80014
AB LIQUOR INC,AB LIQUOR,Liquor Store (city), 02/08/2016,4286 S CHAMBERS RD,AURORA,CO,800144130,39.63870244898,-104.81026571429,1,4286 S Chambers Rd,Aurora,CO,Arapahoe County,80014
ABEL LLC,SMOKY HILL WINE AND SPIRITS,Liquor Store (city), 07/24/2015,15275 E SMOKY HILL RD,Aurora,CO,80015,39.632721714286,-104.81065385714,1,15275 E Smoky Hill Rd,Aurora,CO,Arapahoe County,80015
AKELOM CORPORATION,CHAMBERS LIQUOR MART AURORA,Liquor Store (city), 11/27/2015,15201 EAST COLFAX,Aurora,CO,800115724,39.739636,-104.734875,0.8, E Colfax Ave,Aurora,CO,Arapahoe County,80018
ALAMEDA CROSSING INC,ALAMEDA CROSSING LIQUOR,Liquor Store (city), 09/08/2015,542 S CHAMBERS RD #20,AURORA,CO,800173606,39.706289,-104.80997442857,1,542 S Chambers Rd,Aurora,CO,Arapahoe County,80017
ALDO GROUP LLC,LIQUOR PLUS,Liquor Store (city), 01/29/2016,13490 E MISSISSIPPI VE,Aurora,CO,80012,39.696618733333,-104.83009193333,1,13490 E Mississippi Ave,Aurora,CO,Arapahoe County,80012
AMINDO INVESTMENTS INC,VILLAGE GREEN LIQUORS,Liquor Store (city), 10/12/2015,15092 E MISSISSIPPI AVE,Aurora,CO,800123728,39.696596,-104.81554,1,15092 E Mississippi Ave,Aurora,CO,Arapahoe County,80012
ARUSTAMYAN ENTERPRISES LLC,STOCKADE WINE & LIQUORS,Liquor Store (city), 03/02/2016,2694 S PARKER RD,AURORA,CO,800141616,39.667591733333,-104.86219652,0.9,2694 S Parker Rd,Aurora,CO,Arapahoe County,80014
AURORA LIQUORS LLC,AURORA LIQUORS,Liquor Store (city), 03/25/2016,10 SOUTH HAVANA ST UNIT 101,Aurora,CO,800126431,39.689467,-104.865963,0.8, S Havana St,Aurora,CO,Arapahoe County,80012
B & J CORP,HIGHPOINT LIQUORS,Liquor Store (city), 08/18/2016,18674 E HAMPDEN AVE,AURORA,CO,800133500,39.653026566265,-104.77085051807,1,18674 E Hampden Ave,Aurora,CO,Arapahoe County,80013
BISM LLC,FAN FAIR DISCOUNT LIQUOR,Liquor Store (city), 11/11/2015,475 HAVANA ST,Aurora,CO,80010,39.723176540323,-104.86591728226,0.9,475 Havana St,Aurora,CO,Arapahoe County,80010
BK DISCOUNT LIQUORS INC,BK DISCOUNT LIQUOR,Liquor Store (city), 07/20/2015,14293 E 6TH AVE,Aurora,CO,800118706,39.72562,-104.82029454545,0.9,14293 E 6th Ave,Aurora,CO,Adams County,80011
BUCKINGHAM LIQUOR LLC,BUCKINGHAM LIQUOR,Liquor Store (city), 04/24/2016,11093 E MISSISSIPPI AVE,AURORA,CO,800123104,39.696575746269,-104.85931879104,1,11093 E Mississippi Ave,Aurora,CO,Arapahoe County,80012
CHAMBERS STREET INC,CHAMBERS WINE & LIQUOR,Liquor Store (city), 10/31/2015,15260 E ILIFF,AURORA,CO,800144516,39.674809727273,-104.81050163636,0.9,15260 E Iliff Ave,Aurora,CO,Arapahoe County,80014
CHERRY CREEK LIQUORS LLC,CHERRY CREEK LIQUORS,Liquor Store (city), 01/31/2016,13750 E QUINCY AVE #20,Aurora,CO,800151129,39.638566382979,-104.82818985106,0.9,13750 Airline Rd,Aurora,CO,Arapahoe County,80015
COHAGEN LLC,HAVANA PARK LIQUOR,Liquor Store (city), 10/27/2015,10772 E ILIFF AVE,Aurora,CO,80014,39.67477147651,-104.86244534899,0.9,10772 E Iliff Ave,Aurora,CO,Arapahoe County,80014
COLORADICAL CORP,BRISTOL POINTE LIQUORS,Liquor Store (city), 01/02/2016,852 S BUCKLEY RD,Aurora,CO,80017,39.700961575758,-104.79094656566,0.9,852 S Buckley Rd,Aurora,CO,Arapahoe County,80017
CORNERSTAR WINE & LIQUOR LLC,CORNERSTAR WINE & LIQUOR,Liquor Store (city), 07/21/2015,15405 E BRIARWOOD CIR UNIT C,Aurora,CO,80016,39.592959,-104.739026,0.8, E Briarwood Dr,Franktown,CO,Douglas County,80116
COURTESY LIQUORS INC,COURTESY LIQUORS INC,Liquor Store (city), 01/06/2016,1080 HAVANA ST,AURORA,CO,800103961,39.732523367347,-104.86586120408,0.9,1080 Havana St,Aurora,CO,Arapahoe County,80010
D&T CORPORATION,HARRY'S LIQUOR STORE,Liquor Store (city), 09/18/2015,9508 EAST COLFAX AVENUE,Aurora,CO,80010,39.739636,-104.734875,0.8, E Colfax Ave,Aurora,CO,Arapahoe County,80018
DHILLON-PUREWALL INC,DANDY DISCOUNT LIQUOR,Liquor Store (city), 08/12/2015,12507 E MISSISSIPPI AVE UNIT 802,Aurora,CO,800123479,39.696605,-104.84411420325,1,12507 E Mississippi Ave,Aurora,CO,Arapahoe County,80012
DOO HYUNG RA INC,DICKERSON LIQUORS INC,Liquor Store (city), 03/21/2016,11104 E COLFAX AVE,AURORA,CO,800105026,39.739636,-104.734875,0.8, E Colfax Ave,Aurora,CO,Arapahoe County,80018
DUONG TO CORPORATION,ILIFF SQUARE DISCOUNT LIQUOR,Liquor Store (city), 10/22/2015,2211 S PEORIA ST,AURORA,CO,800141193,39.676612,-104.84726,0.9,2211 S Peoria St,Aurora,CO,Arapahoe County,80014
E QUINCY LIQUOR LLC,E QUINCY LIQUOR,Liquor Store (city), 05/20/2016,16342 E QUINCY AVE,Aurora,CO,800151596,39.638495105263,-104.79820178947,0.9,16342 Airline Rd,Aurora,CO,Arapahoe County,80015
E-470 WINES & SPIRITS INC,E-470 WINES & SPIRITS,Liquor Store (city), 04/04/2016,22910 E SMOKEY HILL RD,AURORA,CO,800161382,39.601609634921,-104.72079050794,0.9,22910 E Smoky Hill Rd,Aurora,CO,Arapahoe County,80016
EDNA LLC,GREAT VINES LIQUORS,Liquor Store (city), 11/19/2015,6140 SO GUN CLUB RD #J-1,Aurora,CO,800165306,39.601172,-104.739428,0.33,0,Aurora,CO,Arapahoe County,80016
ENJ LLC,M&M LIQUORS,Liquor Store (city), 05/09/2016,18881 E COLFAX AVE UNIT 1,AURORA,CO,800116100,39.739636,-104.734875,0.8, E Colfax Ave,Aurora,CO,Arapahoe County,80018
ENVC LIQUOR LLC,ENVC LIQUOR,Liquor Store (city), 03/05/2016,24300 E SMOKY HILL RD #108,Aurora,CO,80016,39.592528908046,-104.69459985632,0.9,24300 E Smoky Hill Rd,Aurora,CO,Arapahoe County,80016
FELSEN ENTERPRISES INC,RESERVE LIST EAGLE BEND,Liquor Store (city), 08/10/2015,22691 E AURORA PKWY,Aurora,CO,800166087,39.574494920354,-104.72288938053,1,22691 E Aurora Pkwy,Aurora,CO,Arapahoe County,80016
GIORGIS TARIKU W MENGISTU ROMAN,T&R LIQUOR STORE,Liquor Store (city), 04/07/2016,9697 MONTVIEW BLVD,Aurora,CO,800102036,39.747417040816,-104.87524308163,1,9697 Montview Blvd,Aurora,CO,Arapahoe County,80010
GMAN INC,G & E LIQUORS,Liquor Store (city), 10/16/2015,18680 E ILIFF AVE # D,AURORA,CO,800135995,39.678081425926,-104.76945764815,1,18680 E Iliff Ave,Aurora,CO,Arapahoe County,80013
GRIFFIN REAL ESTATE & INVESTMENTS LLC,TOWER LANDING LIQUORS,Liquor Store (city), 08/05/2015,1155 S TOWER RD UNIT A,AURORA,CO,80017,39.695546268293,-104.77235165854,0.9,1155 S Tower Rd,Aurora,CO,Arapahoe County,80017
HA SEUNG MIN,CHAMBERS POINT LIQUORS,Liquor Store (city), 05/24/2016,1650 S CHAMBERS RD,Aurora,CO,800175023,39.68745421875,-104.8098906875,1,1650 S Chambers Rd,Aurora,CO,Arapahoe County,80017
HAZOMO MT LLC,SMOKEY HILL LIQUORS,Liquor Store (city), 10/13/2015,16621 E. SMOKY HILL RD,Aurora,CO,80015,39.628423923077,-104.79822815385,1,16621 E Smoky Hill Rd,Aurora,CO,Arapahoe County,80015
HEBRET LLC,POWDERHORN LIQUOR,Liquor Store (city), 08/08/2015,12078 E MISSISSIPPI AVE,Aurora,CO,80012,39.6965984375,-104.8491576875,1,12078 E Mississippi Ave,Aurora,CO,Arapahoe County,80012
HMB LLC,DAYTON LIQUORS,Liquor Store (city), 02/04/2016,816 DAYTON ST,Aurora,CO,80010,39.729309,-104.875306,0.9,816 Dayton St,Aurora,CO,Arapahoe County,80010
HNE INC,I-P LIQUORS,Liquor Store (city), 06/26/2016,12131 E ILIFF AVE STE E,AURORA,CO,800147322,39.674800440789,-104.84706203289,0.9,12131 E Iliff Ave,Aurora,CO,Arapahoe County,80014
HY INC,MONTVIEW PLAZA LIQUOR,Liquor Store (city), 04/07/2016,9435 E MONTVIEW BLVD,AURORA,CO,800101924,39.747422,-104.87833073469,0.9,9435 Montview Blvd,Aurora,CO,Arapahoe County,80010
J & M LIQUORS LLC,PIONEER HILLS LIQUOR,Liquor Store (city), 07/01/2016,"5594 SOUTH PARKER RD, UNIT 49",Aurora,CO,80011,39.61508810084,-104.81601280672,0.9,5594 S Parker Rd,Aurora,CO,Arapahoe County,80015
JD LEE INC,COUNTRY LIQUOR,Liquor Store (city), 04/07/2016,14155 E COLFAX AVE #A-1,AURORA,CO,800115704,39.739636,-104.734875,0.8, E Colfax Ave,Aurora,CO,Arapahoe County,80018
JOONOO INC,LIQUOR PORT,Liquor Store (city), 04/17/2016,15210 E 6TH AVE #9,Aurora,CO,800118831,39.725615,-104.81441267797,0.9,15210 E 6th Ave,Aurora,CO,Adams County,80011
K C INCORPORATEDSALES,CAPSHAW LIQUORS,Liquor Store (city), 01/14/2016,1555 S HAVANA UNIT C&D,Aurora,CO,800125034,39.688513,-104.86596042857,1,1555 S Havana St,Aurora,CO,Arapahoe County,80012
KAMALJIT CORP,AZ LIQUORS,Liquor Store (city), 06/26/2016,"16070 E DARTMOUTH AVE, UNIT 12",Aurora,CO,80013,39.659214,-104.801544,1,16070 E Dartmouth Ave,Aurora,CO,Arapahoe County,80014
KIM OK SUN,5TH QUARTER LIQUORS,Liquor Store (city), 09/04/2015,14585 E ALAMEDA AVE,Aurora,CO,800122601,39.708646416667,-104.811746,1,14585 E Alameda Ave,Aurora,CO,Arapahoe County,80012
KK LIQUORS INC,SERENITY RIDGE LIQUORS,Liquor Store (city), 10/15/2015,25791 E SMOKY HILL RD #70,Aurora,CO,80016,39.58293591222,-104.6867394148,0.9,25791 E Smoky Hill Rd,Aurora,CO,Arapahoe County,80016
LEETSDALE CORPORATION,DOLLAR SAVER DISCOUNT LIQUOR,Liquor Store (city), 04/28/2016,15355 E COLFAX AVE,Aurora,CO,800115955,39.739636,-104.734875,0.8, E Colfax Ave,Aurora,CO,Arapahoe County,80018
LIQUOR 4 LESS CORPORATION,LIQUOR 4 LESS,Liquor Store (city), 10/24/2015,15451 E MISSISSIPPI AVE UNIT A,Aurora,CO,80017,39.696602887574,-104.80867876331,0.9,15451 E Mississippi Ave,Aurora,CO,Arapahoe County,80017
LYG INC,AZZY DISCOUNT LIQUOR,Liquor Store (city), 06/21/2016,13916 E MISSISSIPPI AVE,AURORA,CO,800123603,39.696617319149,-104.82722244681,1,13916 E Mississippi Ave,Aurora,CO,Arapahoe County,80012
M&H LIQUOR CORP,M & H DISCOUNT LIQUORS,Liquor Store (city), 09/25/2015,1155 S HAVANA ST #65,AURORA,CO,800124017,39.69560374,-104.865962,1,1155 S Havana St,Aurora,CO,Arapahoe County,80012
M&M INC,AURORA PLAZA LIQUORS,Liquor Store (city), 03/09/2016,677 PEORIA ST,AURORA,CO,800118228,39.703997416667,-104.84719666667,0.9,677 S Peoria St,Aurora,CO,Arapahoe County,80012
MARK J RUBIN ENTERPRISES INC,HAMPDEN CROSSING LIQUORS INC,Liquor Store (city), 01/24/2016,18121 E HAMPDEN AVE UNIT M,AURORA,CO,800133589,39.653048920792,-104.77844108911,1,18121 E Hampden Ave,Aurora,CO,Arapahoe County,80013
MHS INC,HOFFMAN HEIGHTS LIQUORS,Liquor Store (city), 08/21/2015,728 PEORIA ST,AURORA,CO,800118231,39.728874277778,-104.847185,0.9,728 Peoria St,Aurora,CO,Adams County,80011
MIKE & FRANK'S JACKPOT LLC,BOTTLE BARN LIQUOR M L,Liquor Store (city), 01/11/2016,1720 S BUCKLEY RD,AURORA,CO,800175172,39.685341333333,-104.7910129798,0.9,1720 S Buckley Rd,Aurora,CO,Arapahoe County,80017
MOHAN LLC,MOHAN LIQUORS,Liquor Store (city), 09/06/2015,13700 EAST ALAMEDA AVENUE,Aurora,CO,80012,39.711163,-104.828309,1,13700 E Alameda Ave,Aurora,CO,Arapahoe County,80012
MURPHY CREEK LLC,MK LIQUOR,Liquor Store (city), 04/15/2016,1305 S ZANTE ST,Aurora,CO,80018,39.570453,-104.720302,0.8, S Zante Ct,Aurora,CO,Arapahoe County,80016
N AND T INC,SOMERSET LIQUOR,Liquor Store (city), 12/12/2015,1250 S BUCKLEY RD STE B,Aurora,CO,800174180,39.686994532951,-104.78982200287,0.9,1250 S Buckley Cir,Aurora,CO,Arapahoe County,80017
NATHANAEL & DELINA LLC,HAMPDEN LIQUOR,Liquor Store (city), 10/24/2015,15433 E HAMPDEN AVE SUITES E & F,Aurora,CO,80013,39.65308,-104.80820233333,1,15433 E Hampden Ave,Aurora,CO,Arapahoe County,80013
NICK'S LIQUORS INC,NICK'S LIQUORS INC,Liquor Store (city), 05/08/2016,12030 E COLFAX AVE,Aurora,CO,800105111,39.739636,-104.734875,0.8, E Colfax Ave,Aurora,CO,Arapahoe County,80018
NZW INC,NZW DISCOUNT LIQUORS,Liquor Store (city), 01/27/2016,3095 S PEORIA UNIT E,Aurora,CO,800143158,39.661028163265,-104.847252,0.9,3095 S Peoria St,Aurora,CO,Arapahoe County,80014
OK INC,PEORIA LIQUORS,Liquor Store (city), 05/16/2016,3113 PEORIA ST #B,Aurora,CO,800101512,39.76302424,-104.84700422667,1,3113 Peoria St,Aurora,CO,Arapahoe County,80010
OLD AURORA LIQUOR STORE INC,ORIGINAL AURORA LIQUORS INC,Liquor Store (city), 03/07/2016,11651 E MONTVIEW BLVD,AURORA,CO,800101601,39.747410959184,-104.852275,0.9,11651 Montview Blvd,Aurora,CO,Arapahoe County,80010
PEACHWOOD LIQUORS LLC,PEACHWOOD LIQUORS,Liquor Store (city), 10/05/2015,980 SOUTH PEORIA ST #b,Aurora,CO,80012,39.6998432,-104.8471717,1,980 S Peoria St,Aurora,CO,Arapahoe County,80012
PLAZA LIQUOR LLC,PLAZA LIQUOR,Liquor Store (city), 01/06/2016,1144 YOSEMITE ST,Aurora,CO,80010,39.972069,-104.884242,0.8, Yosemite St,Thornton,CO,Adams County,80602
ROLLING CLOUD INC,SADDLE ROCK WINE & SPIRITS,Liquor Store (city), 05/27/2016,"7450 SOUTH GARTRELL ROAD, #A5-A6",Aurora,CO,80016,39.590417721311,-104.72136936066,1,7450 S Gartrell Rd,Aurora,CO,Arapahoe County,80016
